order_id,customer_email,amount,currency,shipping_date,status
E20031,liam.635@example.com,879.95,usd,2025-04-04,Shipped
E20032,sophia.339@example.com,733.59,INR,2025-08-24,Cancelled
E20033,ananya.104@example.com,91.72,USD,2025-04-12,Cancelled
E20034,olivia.460@example.com,537.24,EUR,,Delivered
E20035,arjun.461@example.com,247.75,EUR,,Shipped
E20036,neha.913@example.com,759.37,INR,2025-06-06,Cancelled
E20037,olivia.126@example.com,30.36,INR,2025-04-23,Cancelled
E20038,diya.465@example.com,287.11,usd,2025-04-22,Delivered
E20039,neha.208@example.com,740.35,INR,2025-03-28,Delivered
E20040,olivia.717@example.com,534.73,USD,2025-08-11,Shipped
E20041,karan.467@example.com,344.37,EUR,,Shipped
E20042,olivia.886@example.com,364.8,Usd,2025-04-22,Delivered
E20043,rohan.990@example.com,327.63,usd,2025-04-15,Delivered
E20044,sophia.305@example.com,281.82,usd,2025-08-13,Cancelled
E20045,priya.562@example.com,590.32,usd,2025-09-08,Processing
E20046,ishaan.541@example.com,506.68,usd,2025-05-20,Cancelled
E20047,emma.123@example.com,115.71,EUR,2025-03-28,Processing
E20048,karan.910@example.com,689.18,Usd,2025-08-31,Processing
E20049,karan.590@example.com,,EUR,,Delivered
E20050,vivaan.21@example.com,251.31,INR,2025-05-20,Shipped
E20051,ishaan.580@example.com,688.05,INR,2025-07-16,Shipped
E20052,james.484@example.com,479.32,Usd,2025-06-03,Delivered
E20053,vivaan.21@example.com,100.29,Usd,2025-07-27,Processing
E20054,emma.458@example.com,168.76,usd,2025-04-04,Shipped
E20055,james.273@example.com,501.87,Usd,2025-04-28,Processing
E20056,kabir.321@example.com,55.09,usd,2025-08-19,Processing
E20057,neha.670@example.com,158.4,Usd,2025-03-08,Processing
E20058,karan.467@example.com,833.82,EUR,2025-05-20,Delivered
E20059,noah.849@example.com,645.88,Usd,2025-03-23,Cancelled
E20060,diya.108@example.com,327.84,INR,2025-04-03,Processing
E20061,kabir.955@example.com,256.05,EUR,2025-07-05,Cancelled
E20062,liam.973@example.com,231.54,INR,2025-07-23,Cancelled
E20063,james.437@example.com,715.92,usd,2025-03-09,Processing
E20064,meera.446@example.com,257.67,USD,2025-03-13,Cancelled
E20065,kabir.485@example.com,350.95,Usd,,Shipped
E20066,ishaan.148@example.com,271.4,EUR,2025-04-02,Cancelled
E20067,neha.657@example.com,726.57,usd,2025-07-06,Cancelled
E20068,noah.203@example.com,208.94,Usd,2025-05-30,Processing
E20069,ishaan.452@example.com,724.99,USD,2025-07-28,Delivered
E20070,mateo.384@example.com,113.55,INR,2025-03-07,Cancelled
E20071,priya.29@example.com,774.44,INR,2025-05-30,Shipped
E20072,ananya.626@example.com,394.38,USD,2025-09-10,Cancelled
E20073,liam.116@example.com,518.29,Usd,2025-04-26,Shipped
E20074,rohan.268@example.com,670.14,EUR,2025-03-08,Cancelled
E20075,sophia.529@example.com,133.27,usd,2025-06-01,Delivered
E20076,sophia.370@example.com,431.85,usd,2025-04-01,Cancelled
E20077,kabir.34@example.com,55.81,usd,2025-06-04,Delivered
E20078,mateo.760@example.com,743.58,Usd,,Shipped
E20079,aarav.250@example.com,572.99,Usd,2025-07-14,Processing
E20080,priya.115@example.com,844.36,EUR,2025-07-21,Processing
E20081,noah.295@example.com,618.68,usd,2025-06-18,Delivered
E20082,ishaan.909@example.com,534.42,INR,2025-07-24,Cancelled
E20083,noah.814@example.com,239.99,INR,2025-08-02,Processing
E20084,ananya.13@example.com,562.75,EUR,2025-09-04,Delivered
E20085,aarav.481@example.com,406.52,usd,2025-09-02,Delivered
E20086,diya.101@example.com,640.12,INR,2025-08-22,Shipped
E20087,ishaan.580@example.com,657.77,Usd,2025-04-28,Shipped
E20088,karan.245@example.com,838.94,INR,2025-03-07,Shipped
E20089,sophia.664@example.com,541.73,usd,2025-06-09,Shipped
E20090,neha.305@example.com,351.78,EUR,,Processing
E20091,noah.2@example.com,32.21,INR,2025-03-11,Processing
E20092,arjun.820@example.com,831.1,INR,2025-08-17,Processing
E20093,aarav.147@example.com,77.29,Usd,2025-06-05,Shipped
E20094,kabir.152@example.com,76.11,USD,,Processing
E20095,neha.613@example.com,844.26,usd,2025-07-15,Shipped
E20096,emma.255@example.com,431.76,INR,2025-08-21,Processing
E20097,aarav.741@example.com,324.07,Usd,2025-08-31,Shipped
E20098,emma.607@example.com,702.96,EUR,2025-07-04,Cancelled
E20099,vivaan.218@example.com,168.39,Usd,2025-04-23,Processing
E20100,aarav.287@example.com,242.17,usd,2025-08-11,Cancelled
E20101,sara.69@example.com,659.61,usd,,Cancelled
E20102,kabir.634@example.com,867.23,Usd,2025-06-16,Shipped
E20103,arjun.289@example.com,743.26,INR,2025-03-31,Delivered
E20104,sophia.98@example.com,,USD,,Cancelled
E20105,mateo.849@example.com,152.79,INR,2025-04-19,Processing
E20106,aarav.215@example.com,472.12,Usd,2025-08-18,Cancelled
E20107,aarav.410@example.com,198.84,EUR,2025-03-18,Processing
E20108,diya.943@example.com,,USD,,Processing
E20109,kabir.955@example.com,8.85,Usd,2025-07-22,Shipped
E20110,aarav.327@example.com,502.72,usd,2025-03-08,Processing
E20111,liam.347@example.com,431.3,usd,2025-04-29,Cancelled
E20112,neha.277@example.com,765.74,usd,2025-03-27,Shipped
E20113,vivaan.761@example.com,431.32,usd,2025-05-10,Delivered
E20114,meera.622@example.com,283.65,INR,2025-03-14,Shipped
E20115,james.25@example.com,622.84,INR,2025-08-03,Delivered
E20116,priya.310@example.com,138.69,Usd,2025-08-31,Delivered
E20117,kabir.618@example.com,548.71,EUR,2025-04-08,Shipped
E20118,karan.467@example.com,506.89,EUR,2025-03-22,Shipped
E20119,arjun.420@example.com,,Usd,,Processing
E20120,james.273@example.com,166.09,Usd,2025-08-12,Processing
E20121,rohan.81@example.com,375.11,USD,2025-04-03,Shipped
E20122,noah.519@example.com,72.47,INR,2025-08-06,Cancelled
E20123,priya.799@example.com,107.91,INR,2025-06-23,Delivered
E20124,priya.707@example.com,154.78,USD,2025-07-20,Delivered
E20125,liam.566@example.com,778.03,Usd,2025-05-12,Delivered
E20126,aarav.111@example.com,305.92,usd,2025-09-04,Processing
E20127,james.239@example.com,852.4,USD,2025-03-13,Cancelled
E20128,james.163@example.com,564.62,EUR,2025-07-05,Processing
E20129,vivaan.834@example.com,632.1,EUR,2025-05-23,Processing
E20130,ananya.724@example.com,489.38,USD,2025-07-29,Processing
E20131,ananya.743@example.com,678.99,INR,2025-05-25,Delivered
E20132,olivia.126@example.com,558.66,EUR,2025-04-15,Shipped
E20133,rohan.584@example.com,,INR,,Cancelled
E20134,ishaan.350@example.com,403.56,Usd,2025-06-18,Processing
E20135,arjun.34@example.com,488.46,USD,2025-05-13,Shipped
E20136,sophia.436@example.com,281.08,usd,2025-08-14,Processing
E20137,diya.357@example.com,597.61,USD,2025-08-22,Processing
E20138,liam.854@example.com,135.88,EUR,2025-06-07,Processing
E20139,aarav.548@example.com,178.07,INR,2025-08-02,Shipped
E20140,ananya.841@example.com,814.31,USD,2025-06-17,Cancelled
E20141,karan.597@example.com,234.49,USD,2025-06-22,Cancelled
E20142,sophia.529@example.com,,INR,,Processing
E20143,diya.667@example.com,247.31,USD,2025-09-09,Delivered
E20144,kabir.916@example.com,358.79,EUR,2025-06-26,Shipped
E20145,aarav.144@example.com,264.28,USD,2025-07-08,Cancelled
E20146,noah.775@example.com,216.35,Usd,2025-06-24,Processing
E20147,sophia.29@example.com,411.79,USD,2025-03-19,Shipped
E20148,kabir.528@example.com,519.62,USD,,Processing
E20149,karan.154@example.com,609.83,Usd,2025-07-12,Shipped
E20150,diya.182@example.com,884.05,EUR,2025-07-18,Delivered
E20151,karan.590@example.com,399.15,INR,2025-03-11,Cancelled
E20152,aarav.258@example.com,532.32,EUR,2025-05-28,Delivered
E20153,rohan.800@example.com,755.01,INR,2025-06-09,Shipped
E20154,ananya.337@example.com,810.44,Usd,2025-04-05,Delivered
E20155,kabir.34@example.com,700.8,usd,2025-08-19,Shipped
E20156,arjun.663@example.com,857.78,INR,2025-09-15,Cancelled
E20157,karan.840@example.com,131.18,EUR,2025-07-02,Shipped
E20158,neha.208@example.com,143.1,usd,2025-03-02,Delivered
E20159,rohan.595@example.com,703.48,EUR,2025-08-16,Processing
E20160,aarav.741@example.com,108.05,usd,2025-04-06,Processing
E20161,kabir.955@example.com,309.68,EUR,2025-06-06,Delivered
E20162,aarav.342@example.com,524.4,USD,2025-05-25,Cancelled
E20163,olivia.875@example.com,195.51,Usd,2025-03-12,Shipped
E20164,mateo.113@example.com,185.96,INR,2025-03-19,Shipped
E20165,vivaan.727@example.com,368.07,usd,2025-04-02,Processing
E20166,liam.566@example.com,660.39,Usd,2025-05-08,Cancelled
E20167,kabir.702@example.com,723.42,USD,2025-09-05,Cancelled
E20168,rohan.207@example.com,386.44,USD,2025-07-06,Processing
E20169,ananya.892@example.com,93.89,INR,2025-05-01,Shipped
E20170,karan.884@example.com,33.09,USD,2025-09-17,Processing
E20171,sara.928@example.com,534.17,EUR,2025-05-19,Processing
E20172,meera.140@example.com,351.83,EUR,2025-03-22,Cancelled
E20173,arjun.427@example.com,455.84,EUR,2025-06-20,Shipped
E20174,arjun.289@example.com,816.36,EUR,2025-08-29,Cancelled
E20175,karan.227@example.com,750.04,INR,2025-05-05,Processing
E20176,ishaan.557@example.com,396.23,USD,2025-07-13,Shipped
E20177,diya.117@example.com,685.48,EUR,2025-05-18,Delivered
E20178,ananya.252@example.com,157.45,Usd,2025-06-01,Shipped
E20179,liam.752@example.com,61.85,USD,2025-09-02,Cancelled
E20180,aarav.481@example.com,379.35,INR,2025-08-23,Shipped
E20181,ananya.892@example.com,571.53,usd,2025-04-22,Shipped
E20182,karan.608@example.com,783.22,Usd,2025-04-10,Delivered
E20183,karan.81@example.com,509.05,USD,2025-03-04,Cancelled
E20184,aarav.287@example.com,740.87,usd,2025-04-05,Delivered
E20185,priya.517@example.com,647.95,Usd,2025-05-06,Processing
E20186,ananya.393@example.com,410.77,EUR,2025-03-19,Processing
E20187,sophia.750@example.com,243.0,EUR,2025-08-14,Cancelled
E20188,ishaan.148@example.com,11.32,INR,2025-06-15,Shipped
E20189,karan.608@example.com,80.64,USD,2025-06-11,Processing
E20190,arjun.910@example.com,398.95,EUR,2025-07-04,Cancelled
E20191,karan.259@example.com,734.06,INR,,Cancelled
E20192,ishaan.985@example.com,363.78,INR,2025-07-02,Cancelled
E20193,olivia.348@example.com,508.11,usd,2025-03-03,Processing
E20194,kabir.529@example.com,130.01,EUR,2025-05-19,Processing
E20195,olivia.254@example.com,834.28,USD,2025-07-04,Processing
E20196,olivia.926@example.com,262.33,Usd,2025-07-16,Cancelled
E20197,priya.499@example.com,125.25,Usd,2025-07-07,Cancelled
E20198,rohan.992@example.com,423.88,INR,2025-09-06,Processing
E20199,neha.97@example.com,154.12,EUR,2025-03-20,Processing
E20200,sara.457@example.com,41.33,Usd,2025-04-13,Cancelled
E20201,vivaan.940@example.com,212.78,Usd,2025-06-19,Processing
E20202,emma.252@example.com,60.22,EUR,2025-04-05,Processing
E20203,ishaan.1@example.com,775.45,EUR,2025-04-21,Delivered
E20204,arjun.461@example.com,150.19,USD,2025-05-05,Shipped
E20205,vivaan.691@example.com,178.61,Usd,2025-08-26,Shipped
E20206,ishaan.667@example.com,739.58,usd,2025-05-01,Delivered
E20207,olivia.280@example.com,102.1,USD,2025-07-09,Processing
E20208,karan.910@example.com,24.2,INR,2025-05-04,Processing
E20209,aarav.410@example.com,473.15,INR,2025-06-04,Shipped
E20210,aarav.215@example.com,264.15,usd,2025-07-24,Cancelled
E20211,arjun.34@example.com,312.52,INR,2025-04-19,Cancelled
E20212,liam.345@example.com,414.43,INR,2025-05-28,Cancelled
E20213,ananya.892@example.com,858.56,usd,2025-05-21,Delivered
E20214,emma.8@example.com,862.09,Usd,2025-04-21,Cancelled
E20215,emma.114@example.com,833.26,usd,2025-05-24,Processing
E20216,james.395@example.com,859.94,Usd,2025-06-19,Shipped
E20217,priya.913@example.com,888.37,Usd,2025-08-30,Processing
E20218,noah.2@example.com,797.28,Usd,2025-06-20,Processing
E20219,ananya.792@example.com,420.26,Usd,2025-04-06,Processing
E20220,kabir.312@example.com,351.43,USD,2025-08-25,Delivered
E20221,aarav.832@example.com,555.18,Usd,2025-03-29,Cancelled
E20222,neha.174@example.com,241.04,EUR,2025-08-02,Processing
E20223,priya.864@example.com,426.12,usd,2025-07-30,Shipped
E20224,priya.857@example.com,722.53,Usd,2025-05-12,Shipped
E20225,neha.820@example.com,475.06,INR,2025-03-30,Cancelled
E20226,emma.675@example.com,414.53,EUR,2025-07-02,Delivered
E20227,arjun.233@example.com,732.32,USD,2025-04-03,Cancelled
E20228,rohan.779@example.com,548.01,USD,2025-08-21,Processing
E20229,kabir.702@example.com,668.38,usd,2025-03-03,Shipped
E20230,neha.732@example.com,859.82,EUR,2025-04-10,Delivered
E20231,ishaan.350@example.com,116.16,INR,2025-08-11,Delivered
E20232,neha.377@example.com,42.11,INR,2025-05-30,Cancelled
E20233,karan.268@example.com,744.5,INR,2025-06-15,Shipped
E20234,noah.622@example.com,36.91,EUR,2025-05-26,Cancelled
E20235,ananya.53@example.com,199.27,usd,2025-08-02,Shipped
E20236,ananya.694@example.com,320.76,Usd,2025-04-09,Processing
E20237,rohan.447@example.com,659.95,EUR,2025-04-02,Processing
E20238,olivia.555@example.com,607.87,USD,,Delivered
E20239,vivaan.508@example.com,53.02,EUR,2025-05-20,Processing
E20240,noah.517@example.com,682.26,INR,2025-03-17,Processing
E20241,emma.45@example.com,59.85,INR,,Processing
E20242,aarav.602@example.com,,INR,,Cancelled
E20243,priya.383@example.com,335.32,Usd,2025-04-24,Shipped
E20244,sara.447@example.com,466.36,Usd,2025-08-11,Cancelled
E20245,kabir.919@example.com,130.04,INR,2025-03-02,Processing
E20246,mateo.844@example.com,82.0,Usd,2025-03-04,Cancelled
E20247,neha.975@example.com,91.09,Usd,2025-04-14,Shipped
E20248,olivia.733@example.com,299.05,usd,2025-04-03,Cancelled
E20249,noah.373@example.com,568.49,usd,2025-07-04,Cancelled
E20250,james.862@example.com,312.12,EUR,2025-06-10,Delivered
E20251,priya.562@example.com,118.91,INR,2025-06-30,Shipped
E20252,karan.103@example.com,291.84,Usd,2025-03-28,Processing
E20253,vivaan.635@example.com,844.16,usd,2025-06-08,Cancelled
E20254,noah.369@example.com,99.65,usd,2025-07-27,Shipped
E20255,liam.245@example.com,521.51,usd,2025-08-03,Processing
E20256,ishaan.421@example.com,419.09,USD,2025-04-05,Delivered
E20257,karan.659@example.com,57.69,USD,2025-04-23,Processing
E20258,karan.703@example.com,574.75,Usd,2025-03-13,Cancelled
E20259,arjun.617@example.com,427.93,Usd,2025-08-04,Processing
E20260,kabir.152@example.com,166.94,INR,2025-06-23,Cancelled
E20261,rohan.447@example.com,197.62,Usd,2025-03-18,Shipped
E20262,ananya.626@example.com,,USD,,Cancelled
E20263,rohan.7@example.com,621.35,USD,2025-04-07,Cancelled
E20264,karan.659@example.com,541.51,Usd,2025-08-26,Processing
E20265,mateo.308@example.com,418.45,USD,2025-05-13,Shipped
E20266,priya.838@example.com,711.84,USD,2025-06-16,Shipped
E20267,ishaan.461@example.com,35.07,EUR,2025-08-15,Processing
E20268,ananya.244@example.com,84.51,USD,2025-08-31,Processing
E20269,liam.671@example.com,174.68,INR,2025-04-25,Cancelled
E20270,priya.115@example.com,264.64,usd,2025-04-11,Cancelled
E20271,sara.565@example.com,88.15,usd,2025-04-10,Delivered
E20272,kabir.145@example.com,55.46,usd,2025-04-12,Cancelled
E20273,noah.935@example.com,647.43,usd,2025-05-21,Shipped
E20274,liam.158@example.com,460.21,Usd,,Processing
E20275,karan.910@example.com,436.75,USD,2025-08-02,Shipped
E20276,neha.908@example.com,488.66,INR,2025-04-25,Delivered
E20277,emma.221@example.com,44.02,USD,2025-03-16,Cancelled
E20278,diya.108@example.com,572.55,usd,2025-05-27,Cancelled
E20279,neha.670@example.com,861.82,EUR,2025-05-24,Processing
E20280,vivaan.739@example.com,335.86,EUR,2025-03-31,Cancelled
E20281,meera.954@example.com,499.7,INR,2025-06-27,Delivered
E20282,diya.565@example.com,263.92,EUR,2025-08-11,Shipped
E20283,neha.371@example.com,169.51,INR,2025-06-05,Processing
E20284,mateo.760@example.com,711.11,EUR,2025-07-14,Processing
E20285,sara.653@example.com,63.23,INR,2025-09-08,Cancelled
E20286,sophia.488@example.com,184.62,USD,2025-06-28,Processing
E20287,arjun.323@example.com,187.59,USD,2025-07-10,Processing
E20288,emma.401@example.com,709.91,EUR,2025-06-10,Cancelled
E20289,arjun.819@example.com,634.75,Usd,2025-06-01,Cancelled
E20290,vivaan.634@example.com,711.22,USD,2025-03-11,Shipped
E20291,diya.45@example.com,200.94,INR,2025-04-09,Shipped
E20292,rohan.81@example.com,759.49,INR,2025-07-11,Processing
E20293,vivaan.727@example.com,130.01,USD,2025-07-23,Shipped
E20294,sara.447@example.com,873.83,usd,2025-05-23,Delivered
E20295,priya.733@example.com,242.68,INR,2025-07-01,Processing
E20296,kabir.702@example.com,182.17,usd,2025-04-28,Cancelled
E20297,james.395@example.com,374.83,INR,2025-03-18,Processing
E20298,rohan.992@example.com,842.46,INR,2025-04-24,Delivered
E20299,arjun.882@example.com,558.85,EUR,2025-03-12,Delivered
E20300,neha.371@example.com,712.12,usd,2025-04-15,Shipped
E20301,james.239@example.com,19.45,usd,2025-06-01,Shipped
E20302,priya.710@example.com,803.78,usd,2025-08-03,Shipped
E20303,olivia.479@example.com,548.58,INR,2025-03-09,Delivered
E20304,mateo.585@example.com,890.38,INR,2025-07-24,Cancelled
E20305,karan.763@example.com,503.51,USD,2025-06-26,Cancelled
E20306,olivia.733@example.com,583.54,Usd,2025-05-24,Shipped
E20307,ananya.626@example.com,53.72,Usd,,Shipped
E20308,neha.862@example.com,898.86,INR,2025-09-09,Cancelled
E20309,vivaan.739@example.com,414.83,Usd,2025-03-07,Delivered
E20310,priya.562@example.com,457.67,INR,2025-05-17,Cancelled
E20311,neha.820@example.com,882.59,EUR,2025-08-03,Processing
E20312,james.996@example.com,508.0,EUR,2025-08-23,Delivered
E20313,vivaan.133@example.com,871.14,INR,2025-04-23,Cancelled
E20314,james.405@example.com,147.1,INR,2025-09-03,Delivered
E20315,kabir.77@example.com,297.65,Usd,2025-04-16,Processing
E20316,kabir.430@example.com,387.32,Usd,2025-07-01,Shipped
E20317,ananya.892@example.com,345.39,usd,2025-04-23,Shipped
E20318,vivaan.634@example.com,,usd,,Shipped
E20319,rohan.268@example.com,851.2,EUR,2025-07-17,Shipped
E20320,arjun.984@example.com,865.04,INR,2025-06-28,Shipped
E20321,karan.4@example.com,703.96,usd,2025-05-04,Processing
E20322,arjun.349@example.com,377.49,USD,2025-03-12,Processing
E20323,vivaan.312@example.com,843.92,INR,2025-08-01,Cancelled
E20324,emma.193@example.com,494.43,EUR,2025-07-10,Cancelled
E20325,priya.873@example.com,454.43,Usd,2025-06-07,Cancelled
E20326,karan.424@example.com,870.44,INR,2025-05-04,Processing
E20327,aarav.643@example.com,679.75,Usd,2025-06-01,Delivered
E20328,kabir.634@example.com,861.58,Usd,2025-08-29,Processing
E20329,diya.500@example.com,721.0,usd,2025-08-18,Processing
E20330,vivaan.218@example.com,47.11,Usd,2025-07-17,Shipped
E20331,karan.490@example.com,591.92,USD,,Shipped
E20332,james.188@example.com,29.76,EUR,2025-07-27,Shipped
E20333,karan.92@example.com,424.68,Usd,2025-03-18,Shipped
E20334,neha.670@example.com,750.16,usd,2025-07-05,Cancelled
E20335,karan.368@example.com,872.65,usd,2025-08-09,Delivered
E20336,vivaan.152@example.com,699.43,usd,2025-04-10,Delivered
E20337,rohan.779@example.com,350.07,USD,2025-07-07,Processing
E20338,aarav.779@example.com,32.82,usd,2025-05-01,Delivered
E20339,neha.657@example.com,140.95,USD,2025-04-19,Shipped
E20340,mateo.253@example.com,575.26,usd,2025-08-21,Delivered
E20341,ishaan.572@example.com,692.38,Usd,2025-07-20,Shipped
E20342,arjun.289@example.com,155.33,USD,2025-04-16,Shipped
E20343,mateo.952@example.com,496.59,EUR,2025-07-02,Shipped
E20344,emma.252@example.com,751.2,usd,2025-08-07,Processing
E20345,james.566@example.com,,usd,,Cancelled
E20346,sophia.320@example.com,573.87,EUR,2025-07-26,Delivered
E20347,aarav.342@example.com,630.74,USD,2025-08-15,Delivered
E20348,diya.849@example.com,341.72,INR,2025-04-24,Shipped
E20349,karan.202@example.com,765.69,Usd,2025-05-01,Processing
E20350,meera.651@example.com,706.82,Usd,2025-09-16,Cancelled
E20351,olivia.717@example.com,338.58,USD,2025-05-20,Processing
E20352,priya.779@example.com,446.07,EUR,2025-08-06,Delivered
E20353,olivia.717@example.com,421.35,USD,2025-08-31,Cancelled
E20354,neha.636@example.com,124.37,usd,2025-07-15,Shipped
E20355,rohan.990@example.com,760.17,USD,2025-03-12,Shipped
E20356,priya.913@example.com,892.18,Usd,2025-03-03,Shipped
E20357,liam.183@example.com,566.25,Usd,2025-08-12,Delivered
E20358,ishaan.421@example.com,754.45,usd,2025-03-29,Cancelled
E20359,sophia.750@example.com,614.73,USD,2025-06-04,Shipped
E20360,diya.595@example.com,242.44,USD,2025-07-18,Shipped
E20361,noah.620@example.com,616.5,INR,2025-04-17,Cancelled
E20362,aarav.934@example.com,148.36,usd,2025-08-15,Delivered
E20363,kabir.758@example.com,83.99,USD,2025-03-26,Cancelled
E20364,vivaan.156@example.com,509.78,INR,2025-04-12,Shipped
E20365,aarav.680@example.com,802.03,EUR,2025-08-21,Delivered
E20366,ananya.877@example.com,675.62,USD,2025-06-11,Cancelled
E20367,james.405@example.com,104.18,EUR,2025-06-28,Cancelled
E20368,olivia.886@example.com,,Usd,,Shipped
E20369,liam.212@example.com,90.79,usd,2025-07-08,Cancelled
E20370,karan.605@example.com,679.84,EUR,,Shipped
E20371,ishaan.459@example.com,19.09,usd,2025-03-11,Processing
E20372,sophia.339@example.com,437.58,INR,2025-04-23,Delivered
E20373,liam.183@example.com,851.15,USD,2025-06-01,Shipped
E20374,rohan.18@example.com,,INR,,Delivered
E20375,aarav.8@example.com,599.95,USD,2025-06-23,Processing
E20376,liam.212@example.com,7.35,INR,2025-07-07,Processing
E20377,kabir.758@example.com,495.23,EUR,2025-07-04,Cancelled
E20378,olivia.926@example.com,213.25,EUR,2025-07-08,Processing
E20379,neha.102@example.com,409.62,EUR,2025-03-13,Delivered
E20380,meera.930@example.com,591.27,usd,2025-03-07,Cancelled
E20381,priya.857@example.com,248.98,INR,2025-03-11,Processing
E20382,ishaan.11@example.com,212.9,INR,2025-08-31,Delivered
E20383,priya.838@example.com,450.31,usd,2025-06-22,Shipped
E20384,arjun.985@example.com,578.91,EUR,2025-05-02,Shipped
E20385,sara.607@example.com,172.72,USD,2025-03-31,Shipped
E20386,sara.921@example.com,14.74,USD,2025-03-24,Shipped
E20387,sophia.564@example.com,744.64,INR,2025-03-08,Cancelled
E20388,vivaan.894@example.com,765.6,Usd,2025-03-08,Delivered
E20389,olivia.113@example.com,538.9,INR,2025-03-08,Shipped
E20390,mateo.523@example.com,42.1,INR,2025-03-17,Delivered
E20391,aarav.250@example.com,424.81,INR,2025-06-30,Delivered
E20392,priya.779@example.com,84.4,USD,2025-08-19,Cancelled
E20393,olivia.245@example.com,488.99,EUR,2025-07-24,Cancelled
E20394,ishaan.11@example.com,502.75,usd,2025-08-09,Delivered
E20395,kabir.758@example.com,805.34,INR,,Cancelled
E20396,ananya.223@example.com,595.92,USD,2025-05-18,Processing
E20397,kabir.353@example.com,617.84,usd,2025-07-17,Delivered
E20398,ishaan.691@example.com,60.88,USD,2025-03-26,Processing
E20399,neha.263@example.com,630.34,EUR,2025-08-25,Cancelled
E20400,ishaan.841@example.com,397.89,USD,2025-07-28,Processing
E20401,neha.174@example.com,244.84,EUR,2025-09-05,Delivered
E20402,liam.644@example.com,438.13,Usd,2025-04-09,Delivered
E20403,neha.277@example.com,382.84,INR,2025-03-20,Cancelled
E20404,mateo.310@example.com,683.75,USD,,Shipped
E20405,rohan.56@example.com,189.04,USD,2025-05-04,Processing
E20406,mateo.817@example.com,278.27,Usd,2025-04-11,Cancelled
E20407,ishaan.423@example.com,593.12,INR,2025-04-18,Shipped
E20408,mateo.742@example.com,557.46,INR,2025-08-10,Shipped
E20409,liam.183@example.com,244.66,Usd,2025-07-21,Cancelled
E20410,olivia.109@example.com,327.88,Usd,2025-07-06,Shipped
E20411,meera.595@example.com,861.8,Usd,2025-08-03,Shipped
E20412,noah.314@example.com,567.62,INR,2025-08-27,Cancelled
E20413,james.25@example.com,566.18,usd,2025-08-27,Processing
E20414,meera.843@example.com,805.38,Usd,2025-05-02,Cancelled
E20415,rohan.56@example.com,384.2,Usd,2025-07-14,Processing
E20416,priya.825@example.com,348.79,Usd,2025-05-13,Processing
E20417,mateo.658@example.com,611.21,usd,2025-07-28,Shipped
E20418,emma.657@example.com,651.94,EUR,2025-08-21,Processing
E20419,rohan.884@example.com,640.55,Usd,2025-03-20,Cancelled
E20420,diya.920@example.com,411.31,usd,2025-04-09,Cancelled
E20421,rohan.383@example.com,303.47,usd,2025-04-30,Processing
E20422,mateo.922@example.com,845.47,usd,2025-03-15,Delivered
E20423,noah.195@example.com,384.59,usd,2025-05-09,Delivered
E20424,vivaan.3@example.com,239.31,usd,2025-03-24,Processing
E20425,noah.935@example.com,622.29,INR,2025-08-24,Processing
E20426,ishaan.461@example.com,875.2,EUR,2025-04-24,Cancelled
E20427,karan.268@example.com,720.74,Usd,2025-07-21,Cancelled
E20428,noah.807@example.com,798.77,usd,2025-06-02,Cancelled
