account_id,customer_name,iban,balance,age,account_type,opened_date,branch
ACC5060,Emma Chopra,GB63928234143637189239,31259.85,37,Checking,2016-05-08,Mumbai
ACC5061,Noah Patel,GB32609310668433567086,32015.59,56,Savings,2018-01-07,Delhi
ACC5062,James Reddy,GB35020005347491624755,14870.01,30,Savings,2022-08-29,
ACC5063,Kabir Gupta,GB59895343961129109337,46237.78,27,savings,2018-05-19,Chennai
ACC5064,Meera Smith,INVALID-IBAN-000,9181.19,88,savings,2024-12-30,
ACC5065,Olivia Reddy,GB16176880294240903678,43447.91,27,Checking,2019-11-29,
ACC5066,Noah Singh,GB43202939087884434481,8141.01,23,Checking,2018-04-10,Bengaluru
ACC5067,Kabir Rao,GB40338105955184269450,31110.74,19,savings,2017-06-17,Delhi
ACC5068,Ishaan Rao,GB89164983735439627365,6990.88,79,Savings,2020-07-24,Mumbai
ACC5069,Mateo Johnson,GB23972404226931216376,4561.81,85,Checking,2023-02-24,Bengaluru
ACC5070,Neha Iyer,GB01002314290018513279,44565.71,38,savings,2018-09-20,Chennai
ACC5071,Kabir Khan,GB48100184186203036625,32595.91,46,CHECKING,2022-09-13,Bengaluru
ACC5072,Priya Johnson,GB31451951510922685926,7086.11,56,savings,2018-11-27,Bengaluru
ACC5073,James Chopra,GB41022526771196421522,38260.54,63,savings,2020-07-17,Chennai
ACC5074,Priya Kumar,GB52366878878836196893,35006.21,48,savings,2015-01-12,Mumbai
ACC5075,Aarav Reddy,GB21055247286333021260,34654.19,72,savings,2015-08-10,Bengaluru
ACC5076,Karan Nair,GB92025213109622728476,35989.15,74,Savings,2018-03-20,Bengaluru
ACC5077,Kabir Patel,GB09282066784984362418,18566.79,34,Checking,2019-06-29,
ACC5078,Vivaan Khan,GB89177566205634111595,916.47,54,Checking,2021-01-27,Bengaluru
ACC5079,Ananya Garcia,GB43830341990970051405,37459.81,68,Checking,2018-07-12,Chennai
ACC5080,Olivia Smith,GB15681820967904227113,44162.3,36,Checking,2025-10-22,
ACC5081,Arjun Gupta,GB25459606339912971024,27130.37,29,CHECKING,2016-01-21,Chennai
ACC5082,Liam Johnson,GB21495511274747219705,42879.66,69,CHECKING,2024-08-11,
ACC5083,Kabir Das,GB95516874090380214629,19663.66,-5,Checking,2019-05-10,Chennai
ACC5084,Ananya Reddy,GB87112166365155973714,22456.22,87,Checking,2025-08-21,Chennai
ACC5085,Kabir Garcia,GB09605673030644212146,3626.31,75,CHECKING,2020-11-19,Mumbai
ACC5086,James Johnson,GB16542356778265960893,3429.34,36,savings,2022-06-13,Delhi
ACC5087,Aarav Smith,GB27516480727910336829,18566.61,62,Checking,2025-09-05,Mumbai
ACC5088,Karan Sharma,GB50448177665586851276,18342.64,88,Checking,2021-02-01,Chennai
ACC5089,Noah Mehta,GB64911110961798178904,42511.12,45,Checking,2023-09-18,Chennai
ACC5090,Sara Singh,GB71576605384444630600,825.46,65,savings,2018-10-04,Mumbai
ACC5091,Karan Kumar,GB63960962626582631281,31387.77,68,savings,2024-05-22,
ACC5092,Ishaan Gupta,GB10609209819602752334,9288.36,49,CHECKING,2023-08-22,Delhi
ACC5093,Vivaan Rao,GB20911791124421175361,24297.37,20,CHECKING,2015-10-29,Chennai
ACC5094,Ananya Garcia,GB65722402990155799802,25848.3,50,Savings,2017-02-28,
ACC5095,Aarav Sharma,GB23513052312447315847,37132.32,81,CHECKING,2020-09-30,Chennai
ACC5096,Meera Rao,GB46199423767694591966,9585.9,63,savings,2025-01-25,Bengaluru
ACC5097,Mateo Johnson,GB84964985601256253135,18284.2,58,Savings,2015-02-09,Delhi
ACC5098,Aarav Gupta,GB95381649383184919665,40576.42,43,Checking,2015-07-23,Chennai
ACC5099,Priya Patel,GB61172959639040907426,1368.91,86,Savings,2018-10-13,Bengaluru
ACC5100,Ananya Chopra,GB64455618579064771591,979.05,24,Savings,2016-07-22,Bengaluru
ACC5101,Liam Kumar,GB13580040104145964229,22765.04,34,savings,2024-08-31,Mumbai
ACC5102,Karan Kumar,GB18839774573144158331,3294.79,81,Savings,2017-05-20,Bengaluru
ACC5103,Meera Das,GB37153988547281235679,25429.93,69,Checking,2015-10-09,Delhi
ACC5104,Sophia Johnson,GB91271130724078754181,17398.56,45,Checking,2019-06-14,
ACC5105,Sophia Gupta,GB45106634362948978610,32140.42,32,Checking,2016-04-16,Bengaluru
ACC5106,Vivaan Rao,GB81439666134732354940,4259.25,82,CHECKING,2023-04-16,Delhi
ACC5107,Rohan Johnson,GB12257207650241209579,-449.17,49,CHECKING,2016-03-24,Bengaluru
ACC5108,Aarav Mehta,GB88221145775847457054,35362.94,84,CHECKING,2016-04-06,Delhi
ACC5109,Arjun Sharma,GB63257039653136148782,12898.12,62,savings,2019-05-21,
ACC5110,Sophia Rao,GB09859167954107272849,27686.11,38,savings,2020-06-17,Delhi
ACC5111,Ananya Mehta,INVALID-IBAN-000,1568.13,54,Savings,2015-08-06,Chennai
ACC5112,Emma Sharma,GB00425488214236914307,46613.21,49,CHECKING,2019-09-27,Chennai
ACC5113,Diya Rao,GB94296592342683441497,27064.45,66,CHECKING,2016-01-29,Mumbai
ACC5114,Arjun Das,GB85756766708061294398,18342.11,87,savings,2015-08-08,Chennai
ACC5115,Kabir Singh,GB78701041591497501980,34929.42,84,Checking,2021-04-21,Chennai
ACC5116,Kabir Khan,GB24407931102918133170,41552.69,74,CHECKING,2015-08-16,Bengaluru
ACC5117,Emma Singh,GB23849791620223288377,14146.83,30,CHECKING,2019-02-13,Delhi
ACC5118,Noah Singh,GB17662047196094097052,23129.31,76,savings,2015-02-07,Mumbai
ACC5119,Olivia Garcia,GB86812259572446176792,28589.97,82,savings,2016-06-14,Delhi
ACC5120,Karan Reddy,GB61002311775331266109,12149.43,22,Savings,2019-12-14,Delhi
ACC5121,Neha Sharma,GB51762983347743326831,28896.45,30,Checking,2015-05-17,Mumbai
ACC5122,Aarav Reddy,GB98152873397855982176,31086.27,27,Savings,2016-06-04,
ACC5123,Emma Iyer,GB30985034465124189389,24752.37,69,Savings,2021-02-14,Bengaluru
ACC5124,Karan Chopra,GB40056435023850371990,16965.2,27,CHECKING,2021-09-16,
ACC5125,Ananya Chopra,GB40107835674300038960,27401.05,24,CHECKING,2023-08-03,Chennai
ACC5126,Kabir Kumar,GB82171955356033190368,28186.45,19,Checking,2024-02-11,Bengaluru
ACC5127,Ananya Patel,GB24055934296711148375,44830.83,46,CHECKING,2022-12-30,Delhi
ACC5128,Olivia Mehta,GB38458810569741328348,10143.87,65,Checking,2015-05-27,Mumbai
ACC5129,Mateo Das,GB07044964104967066703,9889.37,41,CHECKING,2020-12-21,Bengaluru
ACC5130,Emma Patel,GB50954930596601864876,28416.43,90,savings,2016-10-27,Chennai
ACC5131,Mateo Khan,GB04413845960945449014,28206.27,59,savings,2024-07-03,Mumbai
ACC5132,Mateo Das,INVALID-IBAN-000,-52.03,22,savings,2020-05-20,
ACC5133,Meera Kumar,GB14985172444723229031,32557.34,41,CHECKING,2021-07-03,Delhi
ACC5134,Vivaan Khan,GB44058093511871813359,18253.65,71,Savings,2022-03-14,Chennai
ACC5135,Emma Smith,INVALID-IBAN-000,30151.82,64,savings,2025-12-08,Chennai
ACC5136,Olivia Chopra,GB49025042901935889536,41451.7,22,Checking,2019-04-10,Bengaluru
ACC5137,Ananya Khan,GB98681809788754394353,39849.8,64,Checking,2020-02-11,Delhi
ACC5138,Diya Khan,GB65158815793763928369,33128.08,51,savings,2018-10-31,Delhi
ACC5139,Diya Nair,GB82973270216487120602,49491.64,34,CHECKING,2025-02-20,Chennai
ACC5140,Olivia Smith,GB83415599910157676472,36538.88,83,Savings,2016-09-15,Bengaluru
ACC5141,Karan Reddy,GB76572894134750988986,13905.49,67,savings,2023-06-29,Mumbai
ACC5142,Kabir Patel,GB36849951542144773244,49434.68,31,Checking,2022-06-22,Delhi
ACC5143,Kabir Iyer,GB82090883070534967827,14394.55,32,Savings,2019-12-26,Chennai
ACC5144,Priya Rao,GB24151315285478150618,15535.12,89,Savings,2025-08-23,Bengaluru
ACC5145,Rohan Smith,GB33472727423183061789,10031.62,-5,Savings,2019-09-09,Delhi
ACC5146,Neha Singh,GB35782434776958741314,20689.5,75,savings,2017-10-10,Chennai
ACC5147,Diya Johnson,GB51562779630448360854,33586.95,70,CHECKING,2024-01-27,Chennai
ACC5148,Sophia Singh,GB04735047639283199529,,20,CHECKING,2016-01-05,Delhi
ACC5149,Olivia Nair,GB83583286342556383000,37633.65,85,Savings,2020-08-16,Chennai
ACC5150,Priya Patel,GB40330416624111860089,45908.22,30,CHECKING,2017-03-06,
ACC5151,Emma Gupta,GB04473149764613684748,25082.97,66,Savings,2020-07-28,Chennai
ACC5152,Olivia Iyer,GB90637579145211823793,3736.38,69,CHECKING,2020-11-13,
ACC5153,Rohan Patel,GB46452059960438787535,22799.29,79,Savings,2025-05-01,Bengaluru
ACC5154,Sophia Nair,GB02812371067287286604,5437.96,55,savings,2020-11-10,Delhi
ACC5155,Neha Reddy,GB22483958947735228705,20523.3,37,CHECKING,2015-10-02,Bengaluru
ACC5156,Emma Garcia,GB18751097921583503446,29015.65,57,savings,2022-01-01,Chennai
ACC5157,James Garcia,GB21342491289659994973,7989.02,47,Checking,2016-01-10,
ACC5158,Kabir Smith,GB05102876754813866675,15243.97,84,savings,2020-12-13,Bengaluru
ACC5159,Neha Garcia,GB42687741865205756398,43752.89,42,CHECKING,2019-03-13,Mumbai
ACC5160,Aarav Garcia,GB83094515480940476044,31076.16,21,CHECKING,2021-10-24,Chennai
ACC5161,Priya Johnson,GB81050922216107051843,32582.81,20,savings,2024-05-22,Delhi
ACC5162,Ishaan Reddy,GB66013824127049386204,13325.04,62,Savings,2018-10-30,Chennai
ACC5163,Karan Nair,GB71112125902035713432,15179.6,66,savings,2016-12-30,Delhi
ACC5164,Kabir Gupta,GB34324474175955872096,7363.06,90,Checking,2022-11-16,Chennai
ACC5165,Olivia Mehta,GB88418343740182727955,27970.36,22,savings,2022-11-12,Bengaluru
ACC5166,Olivia Sharma,GB75512542782079799667,41621.87,50,savings,2021-09-27,Delhi
ACC5167,Priya Singh,GB38166496902824983922,33002.02,24,Savings,2018-06-20,Mumbai
ACC5168,Olivia Das,GB70232441233613285072,16907.95,78,CHECKING,2022-11-02,Mumbai
ACC5169,Priya Singh,GB31625265469681579039,8497.08,48,savings,2019-01-23,Delhi
ACC5170,Arjun Sharma,GB61327303461562624467,1258.75,71,Checking,2016-10-31,Chennai
ACC5171,Arjun Iyer,GB15160252986707660464,36974.28,32,CHECKING,2020-08-18,Delhi
ACC5172,Priya Gupta,GB51268612059438976074,1512.14,80,CHECKING,2019-02-12,Bengaluru
ACC5173,Neha Reddy,GB54084245607540915086,12055.65,28,Savings,2016-05-31,Mumbai
ACC5174,Priya Kumar,GB57938970155029168154,20837.76,20,Checking,2025-08-28,Delhi
ACC5175,Ananya Kumar,GB39449883059736424809,19632.87,-5,savings,2018-01-21,Bengaluru
ACC5176,Sophia Garcia,INVALID-IBAN-000,20423.4,34,savings,2017-12-29,Chennai
ACC5177,Neha Gupta,GB30531949796958678055,15641.96,74,Checking,2020-03-07,Chennai
ACC5178,Meera Johnson,GB46091785138544577029,29039.31,63,CHECKING,2019-08-29,Bengaluru
ACC5179,Emma Chopra,GB68269116331942268653,20618.09,53,savings,2023-08-22,Delhi
ACC5180,Diya Gupta,GB86367747226408572169,32481.76,71,CHECKING,2017-02-12,Bengaluru
ACC5181,Neha Khan,GB98199605932971509688,,38,CHECKING,2019-02-20,Mumbai
ACC5182,Ishaan Chopra,GB35241039773973278195,43540.32,38,Checking,2020-03-08,Bengaluru
ACC5183,Aarav Patel,GB68761648198077046056,35689.54,83,CHECKING,2019-10-22,Bengaluru
ACC5184,Diya Smith,GB91256523734151773454,34304.3,60,CHECKING,2022-11-05,Delhi
ACC5185,Karan Rao,GB22840359544294774222,30176.2,67,savings,2022-02-21,Mumbai
ACC5186,Aarav Garcia,GB29045886792529858567,32243.01,85,CHECKING,2016-12-19,Chennai
ACC5187,Noah Sharma,GB15343324913577908335,33044.33,69,Savings,2025-09-04,Delhi
ACC5188,Arjun Nair,GB88107983342337209484,4113.64,42,Savings,2025-02-28,Mumbai
ACC5189,Arjun Mehta,GB33997718051371717318,29263.48,80,savings,2021-05-20,Bengaluru
ACC5190,Karan Kumar,GB17399704694725878444,43296.68,49,savings,2018-02-01,
ACC5191,Arjun Mehta,GB12705877221641758231,38024.06,45,savings,2020-08-17,Delhi
ACC5192,Liam Chopra,GB49392523622925879643,46608.6,78,savings,2019-02-27,Mumbai
ACC5193,Emma Gupta,GB57469660606527403344,41543.86,21,savings,2019-10-18,Chennai
ACC5194,Liam Garcia,GB98741132579706734996,2495.5,25,savings,2018-02-04,
ACC5195,Olivia Das,GB17215622949381735984,,55,Savings,2016-07-29,Bengaluru
ACC5196,Liam Reddy,GB73257375534490216667,39803.9,85,Savings,2025-03-28,
ACC5197,Olivia Sharma,GB08587495119181828197,30306.59,42,Savings,2023-08-09,Chennai
ACC5198,James Das,GB25129578606940960035,21071.06,51,Checking,2021-07-21,Delhi
ACC5199,Sara Das,GB39592323421089028515,43463.08,47,Checking,2017-04-06,Delhi
ACC5200,Ishaan Kumar,GB33502716073607763369,40632.22,29,Checking,2020-09-06,
ACC5201,Arjun Iyer,GB31795563318574817006,40072.29,69,Savings,2018-12-23,Delhi
ACC5202,Emma Nair,GB43167045023290282270,2589.66,44,savings,2019-03-03,
ACC5203,Sophia Johnson,GB28225120734654950050,44385.43,22,Checking,2025-03-31,Chennai
ACC5204,Vivaan Singh,GB82210531611776872904,23550.3,50,Checking,2018-08-15,
ACC5205,Olivia Iyer,GB93238223116491334245,35378.25,77,savings,2023-07-10,Mumbai
ACC5206,Liam Kumar,GB29060320203265097753,31250.0,69,CHECKING,2017-05-29,Chennai
ACC5207,Neha Rao,GB14855245787158415608,5874.52,47,CHECKING,2024-04-22,Bengaluru
ACC5208,Diya Mehta,GB54768182683230358929,42926.27,85,Savings,2023-12-22,
ACC5209,Olivia Khan,GB82521293289634064686,44634.1,77,savings,2016-07-11,Delhi
ACC5210,Aarav Nair,GB84399106227236266933,41633.62,27,Checking,2025-10-20,Delhi
ACC5211,Kabir Singh,GB92372450184819737418,37017.04,76,Checking,2015-10-16,Delhi
ACC5212,James Patel,GB41769274381199537660,31722.03,53,savings,2025-02-22,Delhi
ACC5213,Arjun Gupta,GB45101739739641789969,25707.82,66,Savings,2021-09-30,Bengaluru
ACC5214,Karan Iyer,GB13599660577980660392,719.29,60,Savings,2018-04-12,Chennai
ACC5215,Aarav Das,GB45553470574238856527,42760.64,60,savings,2021-11-29,
ACC5216,Rohan Gupta,GB11659726347557522501,9084.38,57,savings,2023-06-27,
ACC5217,Sara Johnson,GB13119642585626149915,49971.66,74,Savings,2017-10-04,
ACC5218,Kabir Rao,INVALID-IBAN-000,10835.66,46,Checking,2024-10-24,Mumbai
ACC5219,Mateo Garcia,GB43097768893628969645,40073.02,51,CHECKING,2019-02-25,Delhi
ACC5220,Rohan Gupta,GB12538921878519358374,28500.09,24,CHECKING,2021-12-09,Chennai
ACC5221,Priya Kumar,GB20878057215149409762,49303.43,45,CHECKING,2018-06-23,
ACC5222,Emma Gupta,GB86289509059119186233,48978.99,40,Checking,2015-05-01,Chennai
ACC5223,Diya Gupta,GB69666725214526471246,,62,Savings,2018-10-23,Chennai
ACC5224,Diya Rao,INVALID-IBAN-000,30111.05,89,Savings,2022-08-28,Delhi
ACC5225,Diya Johnson,INVALID-IBAN-000,49249.0,19,Savings,2018-08-31,Chennai
ACC5226,Emma Sharma,GB99512397283512959272,25120.1,74,Savings,2021-12-23,Bengaluru
ACC5227,Sara Iyer,GB44152982173929578671,33269.61,26,savings,2017-10-05,Delhi
ACC5228,Kabir Khan,GB73605079181589988683,13769.36,35,CHECKING,2023-07-25,Mumbai
ACC5229,Emma Kumar,GB61707158796474080314,44550.67,87,Checking,2022-03-10,Delhi
ACC5230,Vivaan Sharma,INVALID-IBAN-000,14798.77,42,savings,2025-10-24,
ACC5231,Vivaan Kumar,GB82850317235137399006,9904.51,32,savings,2015-01-20,Mumbai
ACC5232,Liam Johnson,GB35602293946943460666,13543.38,42,CHECKING,2017-11-04,
ACC5233,Aarav Singh,INVALID-IBAN-000,38239.89,34,Checking,2015-10-16,Bengaluru
ACC5234,Diya Johnson,GB71285246484494116318,42245.94,43,Checking,2020-10-23,Bengaluru
ACC5235,Priya Chopra,GB30621136957279083350,28224.47,37,savings,2024-08-21,Delhi
ACC5236,Ishaan Reddy,GB06624813235707139848,7635.45,88,savings,2015-08-21,Bengaluru
ACC5237,Ananya Kumar,GB09255021306090691309,27051.92,20,CHECKING,2025-07-05,
ACC5238,Noah Mehta,GB67379457727853242642,18087.94,20,CHECKING,2024-01-13,Delhi
ACC5239,Kabir Patel,GB83625366677767555628,9898.71,-5,Checking,2021-05-17,Mumbai
ACC5240,Neha Reddy,GB86543627187496033582,32812.4,84,CHECKING,2017-01-08,Chennai
ACC5241,Aarav Garcia,GB24926932657327599801,39241.59,28,Savings,2015-02-05,Bengaluru
ACC5242,Liam Nair,GB53234159597752441822,7744.47,33,CHECKING,2016-10-10,
ACC5243,Sara Chopra,GB43127102676720957992,22090.34,20,CHECKING,2025-08-13,
ACC5244,Olivia Gupta,GB51229462135415970996,49580.94,64,savings,2017-02-25,
ACC5245,James Sharma,GB20344765047158029090,14786.88,43,CHECKING,2019-04-06,Chennai
ACC5246,Vivaan Rao,GB55866525483744171581,661.88,34,Savings,2017-09-22,Bengaluru
ACC5247,Ishaan Reddy,GB93110059129751910231,8871.53,29,Savings,2019-11-09,Mumbai
ACC5248,Meera Patel,GB65837379274907280123,12794.71,87,Checking,2022-11-07,Bengaluru
ACC5249,Ananya Garcia,GB53269496843645380442,2764.99,26,CHECKING,2018-11-10,Bengaluru
ACC5250,Neha Kumar,GB70159591945757574758,49954.42,42,Checking,2021-08-02,Mumbai
ACC5251,Vivaan Reddy,GB75677722660256265062,7127.45,41,Checking,2016-01-24,Bengaluru
ACC5252,Noah Chopra,GB53076248433797662705,48052.69,26,savings,2022-12-01,Chennai
ACC5253,Neha Mehta,GB87367042549691928455,40259.78,34,savings,2021-05-04,Chennai
ACC5254,Ananya Sharma,GB63353574859532593993,40572.76,49,CHECKING,2021-04-26,Chennai
ACC5255,Aarav Gupta,GB16295187794176342507,11952.57,18,savings,2018-12-29,
ACC5256,Priya Smith,GB57598339914038843660,14557.94,44,Checking,2018-04-27,Bengaluru
ACC5257,Aarav Kumar,GB72768297514743974292,15801.59,20,Savings,2015-08-03,Delhi
ACC5258,Sara Chopra,GB56806562590459908027,2725.83,26,Checking,2016-09-12,Bengaluru
ACC5259,Arjun Johnson,GB31555165176808662813,22149.16,32,savings,2017-07-20,Mumbai
ACC5260,Vivaan Sharma,GB37003322855660847068,2932.06,43,Savings,2017-05-05,Mumbai
ACC5261,Karan Chopra,INVALID-IBAN-000,34942.12,65,Checking,2019-06-15,Mumbai
ACC5262,Kabir Sharma,GB94485862394535461470,21999.94,83,CHECKING,2017-04-18,Mumbai
ACC5263,Diya Patel,GB13394394570394380403,41394.15,60,Checking,2020-08-08,Chennai
ACC5264,Liam Das,GB92778943191009004047,18761.76,90,Checking,2016-02-03,Bengaluru
ACC5265,Olivia Garcia,GB65146040142473107201,3847.81,48,CHECKING,2024-10-02,
ACC5266,Sara Rao,GB97123166007676209014,35350.04,79,Checking,2023-12-29,Delhi
ACC5267,Aarav Rao,GB33700968730451957782,18350.01,65,Checking,2018-08-06,Delhi
ACC5268,Sophia Johnson,GB57542786561942557782,44431.92,61,Checking,2021-09-18,Delhi
ACC5269,Sara Johnson,GB92361618808190482357,5404.53,-5,CHECKING,2020-11-12,Chennai
ACC5270,Rohan Reddy,GB13723081721436438130,319.11,55,Savings,2017-04-28,Mumbai
ACC5271,Ananya Nair,GB16560945653469979907,48839.18,81,savings,2018-12-10,Bengaluru
ACC5272,James Chopra,GB68169957060717481131,22461.65,61,Checking,2021-10-08,Chennai
ACC5273,Vivaan Gupta,GB73961029087182749680,12286.82,33,CHECKING,2016-12-13,Chennai
ACC5274,Emma Johnson,INVALID-IBAN-000,29856.58,72,Savings,2022-09-14,Mumbai
ACC5275,Ananya Garcia,GB30626042359737112229,27919.92,74,CHECKING,2019-02-10,Chennai
ACC5276,Aarav Reddy,GB16704686111457683210,7680.76,41,Checking,2020-01-02,
ACC5277,Olivia Rao,GB29618033242605080184,29071.43,19,savings,2024-11-15,Mumbai
ACC5278,Liam Khan,GB33777312688122821781,28090.95,49,CHECKING,2024-06-01,Delhi
ACC5279,Rohan Rao,GB60560356793279862398,14025.2,27,CHECKING,2021-09-22,Bengaluru
ACC5280,Sophia Nair,GB20546475489547876989,29766.77,35,CHECKING,2018-10-12,Bengaluru
ACC5281,Priya Gupta,GB91444498355393543586,13565.37,72,Checking,2023-08-14,
ACC5282,Kabir Mehta,GB58853798214339527536,23959.34,52,CHECKING,2021-01-10,Delhi
ACC5283,Kabir Rao,GB41686013477894896340,49069.67,80,Savings,2020-05-05,Chennai
ACC5284,Noah Gupta,GB21500141884216309001,16549.1,53,savings,2019-10-27,Mumbai
ACC5285,Rohan Khan,GB94853208953263890219,36893.03,52,CHECKING,2016-05-25,Bengaluru
ACC5286,Rohan Kumar,GB79223410346996733116,35477.46,74,Checking,2023-04-16,Chennai
ACC5287,Neha Singh,INVALID-IBAN-000,38135.32,44,CHECKING,2019-11-24,
ACC5288,Liam Gupta,INVALID-IBAN-000,25131.75,67,CHECKING,2021-10-20,Mumbai
ACC5289,Olivia Smith,GB96263355643436970931,22338.41,20,CHECKING,2021-05-30,Delhi
ACC5290,Olivia Singh,INVALID-IBAN-000,21532.74,75,CHECKING,2016-01-02,Chennai
ACC5291,James Reddy,GB54722398983065031219,34613.3,24,savings,2015-11-21,
ACC5292,James Das,GB26423642813190924876,44693.56,48,Savings,2024-01-22,Mumbai
ACC5293,Neha Nair,GB14281785228230524808,24977.74,25,CHECKING,2016-07-06,Mumbai
ACC5294,Vivaan Chopra,GB23959473721329016204,22769.02,80,CHECKING,2021-03-04,
